mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
370.54001355171204,2.3080239164106273,1.673413594563802,0.015556218934141837,0.5,8,6,3,0.5,"{'subsample': 0.5, 'min_child_weight': 8, 'max_depth': 6, 'gamma': 3, 'colsample_bytree': 0.5}",0.9079472348199431,0.9048901867978022,0.9088760875078917,0.9072378206848681,0.0017027880038725893,22
268.3907784620921,3.6322980570692005,1.200101613998413,0.028144523061382234,0.5,8,4,3,0.5,"{'subsample': 0.5, 'min_child_weight': 8, 'max_depth': 4, 'gamma': 3, 'colsample_bytree': 0.5}",0.9072852318006849,0.9038834794906307,0.9088027810824718,0.9066571384898845,0.0020567980191371835,39
345.33716718355817,1.9166832306305261,1.4117748737335205,0.021053050766290115,0.6,8,5,5,0.55,"{'subsample': 0.6, 'min_child_weight': 8, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.55}",0.908202175801875,0.9044876521213654,0.909077817028622,0.9072558668591342,0.0019897984009780143,20
371.3285087744395,4.306940343873588,1.4592385292053223,0.05416006661063235,0.55,8,5,5,0.6,"{'subsample': 0.55, 'min_child_weight': 8, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.6}",0.907654186630204,0.904345278529045,0.909324924002175,0.9071081014980827,0.002069256534509512,32
430.3856398264567,4.474941421926256,1.7498027483622234,0.03472394833479849,0.55,7,6,5,0.6,"{'subsample': 0.55, 'min_child_weight': 7, 'max_depth': 6, 'gamma': 5, 'colsample_bytree': 0.6}",0.9079291444404067,0.904087774477128,0.9091219514197817,0.9070462699633318,0.002147901111630411,33
370.0634696483612,2.2694147079168476,1.479974349339803,0.040476134162454894,0.55,7,5,3,0.6,"{'subsample': 0.55, 'min_child_weight': 7, 'max_depth': 5, 'gamma': 3, 'colsample_bytree': 0.6}",0.907706383131714,0.9043229617392838,0.9092994583444336,0.9071095741613016,0.002074990562167126,31
434.4078923861186,5.614475846804114,1.673226277033488,0.019467142877996963,0.6,8,6,4,0.6,"{'subsample': 0.6, 'min_child_weight': 8, 'max_depth': 6, 'gamma': 4, 'colsample_bytree': 0.6}",0.9084735200958126,0.9043831155798515,0.9089062517106353,0.907254288485654,0.0020378975364751693,21
343.0620095729828,5.876839113486341,1.4486867586771648,0.023075928289365687,0.5,8,5,5,0.55,"{'subsample': 0.5, 'min_child_weight': 8, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.55}",0.907728736776497,0.9048533418577313,0.9090335571908722,0.9072051899004424,0.0017462399585686703,25
318.6917274792989,2.3708809664533184,1.5133715470631917,0.09752885587513659,0.5,6,5,3,0.5,"{'subsample': 0.5, 'min_child_weight': 6, 'max_depth': 5, 'gamma': 3, 'colsample_bytree': 0.5}",0.9078746567188045,0.9049393589988504,0.9090510855007462,0.9072883472003568,0.0017290277319868222,16
289.62692284584045,2.7187318708203603,1.2215980688730876,0.03969133655688217,0.6,7,4,4,0.55,"{'subsample': 0.6, 'min_child_weight': 7, 'max_depth': 4, 'gamma': 4, 'colsample_bytree': 0.55}",0.9075023961488535,0.9038089115354699,0.908952347630291,0.9067545272787007,0.002165345069245358,34
370.8105426629384,4.177018214440357,1.7341262499491374,0.027775338478214433,0.5,6,6,4,0.5,"{'subsample': 0.5, 'min_child_weight': 6, 'max_depth': 6, 'gamma': 4, 'colsample_bytree': 0.5}",0.9081384206079585,0.9050616623050286,0.9090047386879108,0.9074015925663007,0.0016919578352003924,3
430.68115250269574,2.5310980636364664,1.6695795853932698,0.04018566495508705,0.6,6,6,4,0.6,"{'subsample': 0.6, 'min_child_weight': 6, 'max_depth': 6, 'gamma': 4, 'colsample_bytree': 0.6}",0.9081714780122778,0.9045144619183654,0.90893786425128,0.9072079217813755,0.0019300917925824078,24
373.10454567273456,2.653067708145052,1.4300601482391357,0.04054189322328366,0.6,6,5,5,0.6,"{'subsample': 0.6, 'min_child_weight': 6, 'max_depth': 5, 'gamma': 5, 'colsample_bytree': 0.6}",0.9078758536248231,0.9044358342916895,0.9093139645319154,0.9072085265233184,0.0020466081537424837,23
309.74867312113446,1.1726738253703524,1.2007815837860107,0.02792644646946956,0.6,8,4,3,0.6,"{'subsample': 0.6, 'min_child_weight': 8, 'max_depth': 4, 'gamma': 3, 'colsample_bytree': 0.6}",0.9075539770986967,0.9036670168931599,0.9086760230055361,0.9066323200453326,0.0021462391668015295,41
290.02065420150757,2.0248852318431303,1.1985234419504802,0.015774885546342283,0.55,6,4,3,0.55,"{'subsample': 0.55, 'min_child_weight': 6, 'max_depth': 4, 'gamma': 3, 'colsample_bytree': 0.55}",0.9075671658631095,0.9035791295662867,0.908747938114232,0.9066313912353953,0.0022114522752996733,42
398.18560576438904,1.901711454912989,1.684220552444458,0.023272050046218826,0.6,8,6,5,0.55,"{'subsample': 0.6, 'min_child_weight': 8, 'max_depth': 6, 'gamma': 5, 'colsample_bytree': 0.55}",0.908254896662212,0.9046912742971341,0.9090992797997235,0.907348469322887,0.00191028091720123,7
431.2542028427124,2.5308845525017314,1.6716376145680745,0.025867187698155884,0.6,6,6,5,0.6,"{'subsample': 0.6, 'min_child_weight': 6, 'max_depth': 6, 'gamma': 5, 'colsample_bytree': 0.6}",0.9082675838660078,0.9041824697362892,0.9089910079884389,0.9071470083100368,0.0021169478550216005,28
